Session_ID,User_ID,Session_Duration (seconds),CTR (%),Bounce_Rate (%),Conversion_Rate (%),Pages_Viewed,Purchase_Made
1,861,98,1.7478400155103846,47.56955937355253,1.8271232626869125,4,1
2,1295,285,1.4709823705709277,64.05428681535929,1.409570325607466,4,0
3,1131,27,2.610376301627369,51.588646731198175,1.9971934506397542,4,1
4,1096,25,2.869399180475434,39.8134621869734,2.2550646629396955,2,1
5,1639,185,1.8226490278340295,42.900347259662695,1.68302385992833,3,1
6,2170,39,1.6134809087994546,35.56585563741449,2.2757058849602987,5,1
7,467,18,1.3430277516450149,49.61094899579461,1.261409061160054,5,0
8,1239,32,2.1322706880510336,48.39816433764991,1.0501843214456517,5,0
9,331,463,1.6988568226657947,51.88390314906547,1.32851371722692,8,0
10,1483,310,1.7256418293258662,63.61702119932326,1.5206228427963546,3,1
11,2136,78,2.8147943087159675,49.83566690799241,2.2776875436444515,3,1
12,2920,191,1.8518006742269089,47.328706893574264,1.3095346834792758,5,0
13,131,138,2.293324785169335,48.004947946307084,1.6921186072378207,1,1
14,1686,203,2.0264805449573062,31.466504879306186,2.050484531241466,5,1
15,770,206,1.322397296329783,56.8346527818342,1.7337222149787563,5,1
16,2392,178,1.0775598135809474,48.49207525039573,1.2532175977793576,3,0
17,1516,55,2.243761029347839,50.803317615192256,0.8606938376452066,4,0
18,2854,7,2.852055260433402,47.99235061473007,2.1094327252926135,5,1
19,2434,109,2.1574937677102506,51.27385099826998,0.9737546895142787,4,0
20,1216,398,2.3120450915920676,36.882414555246825,1.3106687293753325,8,0
21,956,151,1.5476468472072598,49.989194427450045,1.5169710913329582,3,1
22,2325,321,2.5074471710315045,43.959677095545956,2.131716817109826,5,1
23,1185,860,2.5012522274410194,50.34929133754779,1.9988537849757684,7,1
24,460,32,1.6519007638479106,39.85037586771318,1.574171530278145,8,1
25,22,211,2.2727043869165637,54.785645404003816,2.1063896601022725,5,1
26,2301,201,1.1167910746635163,50.21405321537975,2.216347766811026,1,1
27,748,703,2.3619559833794934,37.0452073457615,1.2616631600243988,4,0
28,2905,763,1.7137912071099772,59.463355628647136,1.303400377509544,3,0
29,475,208,1.3864354315449896,44.856587394293875,1.8745971900468472,4,1
30,1083,50,2.201319978496002,46.41380050636948,2.3484987326473536,4,1
31,2559,288,1.1141350174421774,57.9821695357066,1.1525817918906769,1,0
32,2048,20,2.171206790384162,60.7338011513863,0.5789390922621364,3,0
33,2748,273,1.433860435227552,45.34122155220252,1.8247986247496006,10,1
34,976,433,1.3268619383840703,51.11484817151078,2.182167593872086,2,1
35,1807,86,2.0299264806898423,56.81968860493475,1.5647403894551721,4,1
36,190,179,1.9137243712425662,62.632614223311506,2.817012616610847,5,1
37,2735,101,2.7283947255452534,50.886773167251555,1.0814237269373836,8,0
38,563,103,1.3575993749386903,54.71736414475423,1.1289051094880176,4,0
39,1900,66,2.6875272455823547,40.86056647691992,1.1221158987565834,2,0
40,1268,258,1.4311776978653614,34.876967697764655,1.5435494731058579,2,1
41,2880,495,2.45972120821252,55.54897927007865,1.5550056330449453,5,1
42,1529,508,2.553046261426687,41.930736805097155,1.1151107339318638,4,0
43,647,34,2.1607293929454627,40.75642868141521,2.061666893055408,4,1
44,2069,373,1.604523059730793,56.414197688667166,1.6339031307369245,7,1
45,2889,240,1.238522764021776,48.525510922194776,0.9825909217038294,5,0
46,2215,52,1.0241117582024097,52.275702828150976,1.8068659234878528,3,1
47,1298,12,2.9261454770354427,37.167574328540255,1.289820187268629,2,0
48,2436,56,1.851572553134015,40.8892891372042,1.5507884838708947,4,1
49,601,437,1.4476662261362425,66.30618980116363,1.943657854981571,5,1
50,2364,180,1.4284196969799599,43.41994148977864,1.9995543726855076,4,1
51,2062,229,2.0839311968033805,47.96707494919111,1.9582826113872427,3,1
52,242,53,1.8025739481979544,52.37363005471305,1.5248487965013382,5,1
53,2042,228,1.040353710571516,39.30039142144918,1.0126002753033019,4,0
54,2825,5,2.4322703347317245,63.5279984569572,1.3406934144305953,7,0
55,2613,84,2.167491777748962,50.07502974481688,1.5115970576134052,8,1
56,2946,177,2.9199554995844417,47.63585369721365,2.273091181310083,5,1
57,1364,28,2.5703957237772697,60.68113288502889,1.236963663349838,3,0
58,2140,311,0.4509264227396099,59.117999464107456,1.600878134630246,7,1
59,1391,48,2.7084869869187815,69.66990882370666,0.8835185506893043,8,0
60,1479,190,2.6037456246372686,45.62967707670536,1.670266240105986,7,1
61,2557,93,1.631813623822,71.93277503060611,1.4772870426067275,6,0
62,776,163,1.7837121214384604,56.461402606020926,1.435387085145072,6,0
63,35,20,2.205862553620621,66.90403443014418,1.9233142140984043,1,1
64,2254,3,1.4928924956015859,59.858039103443026,1.1571279631401965,3,0
65,1956,432,1.8786355658935847,43.58019026454518,2.200439628624804,3,1
66,1586,56,2.500018722912957,41.66290844041366,1.1201939469761921,4,0
67,1022,308,2.25886395434504,31.958772802883928,2.1830267994690375,2,1
68,2614,1321,1.6666076180191303,29.894218716381044,0.7019186894766183,10,0
69,1130,42,2.5113802783206123,43.877342346886124,1.6529218506397128,4,1
70,1501,55,2.1514476312714654,62.67004998622063,1.805148389168895,4,1
71,703,195,2.1343527264734368,45.01872839784908,1.3201254153657795,7,0
72,2450,605,1.742533818509398,43.23572113920767,1.6388912632521937,3,1
73,2778,445,1.996730728165569,56.99636276951731,1.3182028325368105,4,0
74,1580,125,1.6129542591901136,41.38466831817074,1.7238796228386453,5,1
75,162,285,1.029724207648175,68.40565118106116,1.6251808841684756,7,1
76,202,26,1.860103917150508,47.38332511754359,2.6084656782951514,6,1
77,1982,682,1.9389238769526007,59.306886339120375,0.8107092248433654,4,0
78,996,600,2.0686443897438327,47.999325943961786,1.6004632599603317,4,1
79,2318,32,2.6060772991842476,50.24577142273144,1.2895970004788577,6,0
80,816,64,1.673857577636645,61.270858255522334,1.5622810615514737,2,1
81,456,18,1.8161239982426403,52.29350427362737,1.432072551453654,3,0
82,1276,57,2.383088798810609,64.93794347868126,1.3257412670200912,6,0
83,1017,304,1.6237389427090774,42.16716221199687,1.238471880539255,2,0
84,2344,85,2.076874764404239,37.009705169478735,1.857189053643543,4,1
85,2768,16,1.795858993217822,32.506737171703364,1.3134340687793764,4,0
86,338,75,1.8781878086442867,62.549657286283136,1.4891375019778816,6,0
87,879,717,2.3790724446053386,59.015884492222206,1.5928756839288434,5,1
88,1077,178,1.8132734720097798,47.343620706877246,1.137739159422724,4,0
89,792,96,2.3953720036199173,52.98755311988188,1.8046389279823791,5,1
90,2265,32,1.023783445897421,60.69443275556023,1.0206789134499727,9,0
91,764,770,1.2851926630402692,48.09767892760545,1.7466696431554516,9,1
92,2236,309,0.8408999546255755,32.39947219847187,1.7009433832244847,8,1
93,380,59,1.4171146914165167,32.526946313676206,1.4334904730341922,7,0
94,493,13,2.9284218314245862,39.05333460820642,0.9525727465775999,6,0
95,1181,10,1.9912320456582735,51.02204509420454,1.5033692726535466,5,1
96,2063,23,1.6393486247712716,40.58375197153004,0.983824624716374,3,0
97,65,156,2.391403412496212,60.33487292768359,1.4440040426826084,4,0
98,2569,475,2.4620055286285862,37.264009989642176,1.8944485302321366,6,1
99,1368,123,1.389576092968737,43.065369716535685,1.4922764538212894,2,0
100,1153,333,3.2491000589870564,31.78649790857859,2.1270177246575708,5,1
101,2028,106,2.1381654215005277,45.5480828785299,1.647541756123483,2,1
102,2696,221,2.2011759942271705,50.07121368815214,1.8866529365620899,0,1
103,1496,236,2.248616575678931,60.77758584118323,1.8583558007679453,9,1
104,1163,34,2.2475689350229864,51.19984383838132,2.20355697933699,2,1
105,1523,80,1.689263297642761,57.40900325868219,0.8474430066509876,6,0
106,2641,182,3.056259645481401,60.051132244250866,1.238504363189015,5,0
107,392,13,1.8574057766281702,53.92274754875391,1.513949157345811,6,1
